Date,Target,Horizon,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2022-06-01,Headline,6,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, real_turnover","oilprices, Vol_loans, variable_mortgages, Manufacturing_EU, unemployment_rate"
2022-09-01,Headline,6,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, Vol_loans, variable_mortgages, unemployment_rate, Manufacturing_EU"
2022-12-01,Headline,6,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, Vol_loans, unemployment_rate, EU_fin_spread"
2023-03-01,Headline,6,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, M3_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, PPI"
2023-06-01,Headline,6,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, Wage_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, gdp_index_eu, infl_e_current_year","oilprices, gdp_index_eu, gdp_index_ch, variable_mortgages, EU_fin_spread"
2023-09-01,Headline,6,"Saron_Rate, CH_2int, infl_e_next_year, infl_e_current_year, variable_mortgages","fin_spread, Business_Confidence_EU, M2_change, M1_change, Wage_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, infl_e_current_year, gdp_index_eu","oilprices, gdp_index_eu, gdp_index_ch, variable_mortgages, EU_fin_spread"
2023-12-01,Headline,6,"Saron_Rate, infl_e_next_year, CH_2int, infl_e_current_year, M2_change","fin_spread, Wage_change, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, gdp_index_eu, infl_e_current_year","oilprices, gdp_index_eu, variable_mortgages, gdp_index_ch, EU_fin_spread"
2024-03-01,Headline,6,"Saron_Rate, infl_e_next_year, infl_e_current_year, CH_2int, M2_change","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, unemployment_rate, gdp_index_ch","oilprices, gdp_index_eu, variable_mortgages, gdp_index_ch, EU_fin_spread"
2024-06-01,Headline,6,"Saron_Rate, infl_e_current_year, infl_e_next_year, M2_change, CH_2int","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, gdp_index_ch"
2024-09-01,Headline,6,"Saron_Rate, infl_e_current_year, infl_e_next_year, M2_change, M1_change","Wage_change, fin_spread, Business_Confidence_EU, variable_mortgages, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, PPI"
2024-12-01,Headline,6,"Saron_Rate, infl_e_current_year, M2_change, infl_e_next_year, M1_change","Wage_change, fin_spread, Business_Confidence_EU, variable_mortgages, CH_2int","gdp_index_ch, gdp_index_eu, real_turnover, PPI, Business_Confidence_EU","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, PPI, EU_fin_spread"
2025-03-01,Headline,6,"Saron_Rate, infl_e_current_year, M2_change, infl_e_next_year, M1_change","Wage_change, fin_spread, Business_Confidence_EU, variable_mortgages, CH_2int","gdp_index_ch, gdp_index_eu, real_turnover, PPI, Business_Confidence_EU","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, PPI, EU_fin_spread"
2012-09-01,Headline,9,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, gdp_index_ch, Wage_change, Business_Confidence_EU, gdp_index_eu","variable_mortgages, oilprices, infl_e_current_year, Manufacturing_EU, Vol_loans","Exchange_Rate_CHF, retail_turnover, infl_e_next_year, PPI, fin_spread","Exchange_Rate_CHF, oilprices, Manufacturing_EU, Vol_loans, real_turnover"
2012-12-01,Headline,9,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, variable_mortgages, fin_spread, Manufacturing_EU, Vol_loans","Exchange_Rate_CHF, retail_turnover, Wage_change, Saron_Rate, infl_e_next_year","Exchange_Rate_CHF, oilprices, Vol_loans, Manufacturing_EU, real_turnover"
2013-03-01,Headline,9,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, variable_mortgages, fin_spread, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_next_year","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, oilprices, real_turnover"
2013-06-01,Headline,9,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, Manufacturing_EU, kofbarometer","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_current_year","Exchange_Rate_CHF, Vol_loans, real_turnover, oilprices, Manufacturing_EU"
2013-09-01,Headline,9,"M2_change, Saron_Rate, M1_change, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, infl_e_current_year, Saron_Rate","Exchange_Rate_CHF, Vol_loans, real_turnover, Manufacturing_EU, unemployment_rate"
2013-12-01,Headline,9,"M2_change, Saron_Rate, M1_change, CH_2int, EU_fin_spread","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, unemployment_rate","retail_turnover, Exchange_Rate_CHF, Wage_change, Manufacturing_EU, Saron_Rate","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, real_turnover, unemployment_rate"
