Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2004-09-01,97.0454,95.989,101.451833763118,3.7076626531420924,54.55388,132414.356113233,2579932.4,0.783333333333333,1.17777777777778,0.53447,1.2895454545454546,2.2411209090909088,1.99537131818182,0.8,106.5792,63.520837086410864,73.1,102.9932,3.19,633957.0,-1.58324406,-0.17841863,1.55864966,109.3,-2.7
2004-10-01,97.8122,96.8889,101.949137751393,3.7474398199335797,61.37438,133003.988025003,2592926.8,0.783333333333333,1.17777777777778,0.63083,1.1614285714285715,2.025074761904762,1.8321187142857105,0.9,107.1253,63.01032529197118,72.8,103.7367,3.21,632835.0,-4.53440324,-1.97533416,1.31574985,109.7,-2.2
2004-11-01,98.0062,96.9819,99.4629029990299,3.86140013600244,50.48838,133003.988025003,2592926.8,0.783333333333333,1.17777777777778,0.503354,1.2097727272727274,2.027736909090909,1.69838736363636,0.9,107.0002,63.083994235524784,73.5,105.9486,3.21,633956.0,-4.93394264,-2.32674898,2.65263837,110.1,-3.2
2004-12-01,97.9765,96.8233,98.1443385492681,4.013592136586177,45.402,133003.988025003,2592926.8,0.833333333333333,1.19333333333333,0.497394,1.1342608695652174,1.872519043478261,1.51614673913044,0.9,106.5961,63.323142216272444,72.6,105.4008,3.21,638846.0,-4.89635897,-2.06394887,2.52355382,110.9,-3.3
2005-01-01,97.6157,96.3739,98.0946872012287,4.10520629908173,52.48412,134418.479615658,2600101.7,0.833333333333333,1.19333333333333,0.654176,1.0694285714285714,1.635538285714286,1.4882001428571399,1.4,106.366,64.96436831318277,74.1,103.8904,3.21,644400.0,-4.41615659,-2.22400465,2.98571888,112.2,-4.1
2005-02-01,97.5909,96.5857,101.299361040023,4.065150438764952,54.19639,134418.479615658,2600101.7,0.833333333333333,1.19333333333333,0.67587,1.07425,1.5214800000000002,1.4768795000000003,1.4,106.7794,64.71285659968122,74.7,103.0625,3.21,647307.0,-5.19754814,-2.93438087,2.38722865,112.9,-5.1
2005-03-01,97.6217,96.822,99.2009895052809,3.944298791888903,62.43109,134418.479615658,2600101.7,0.726315789473684,1.34210526315789,0.809343,1.1390869565217392,1.579265695652174,1.6252571304347794,1.4,107.0048,64.57654236071653,75.2,103.5033,3.21,652161.0,-5.09602334,-2.73668581,2.7200858,112.8,-6.8
2005-04-01,98.3557,97.6146,101.422461333282,3.817366559006513,62.02018,135839.153454727,2617960.3,0.726315789473684,1.34210526315789,0.646173,1.006,1.532874619047619,1.4337419523809505,1.2,107.4191,64.04819999422821,75.1,103.0801,3.21,651104.0,-7.18507542,-4.0986075,2.7881151,113.1,-8.0
2005-05-01,98.3761,97.5177,100.208370560326,3.6830616155914333,59.20939,135839.153454727,2617960.3,0.726315789473684,1.34210526315789,0.665846,0.9328636363636363,1.3921085454545454,1.28183118181818,1.2,107.1277,64.2224186648271,73.6,102.3613,3.21,651808.0,-7.08902133,-4.00226059,3.14118083,113.0,-8.6
2005-06-01,98.1105,97.2985,102.279541419734,3.563755450991997,68.84077,135839.153454727,2617960.3,0.726315789473684,1.34210526315789,0.631008,0.8734999999999999,1.3726283636363634,1.1431141818181798,1.2,106.8229,64.405665826335,75.5,101.0479,3.2,655686.0,-2.72141125,-1.4218571,4.86305169,113.0,-8.3
