Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,real_gdp_growth,gdp_EU_growth,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2006-10-01,0.6,0.3,103.555425849814,3.1103464211190914,72.84794,0.0134206609055438,0.010558303652133949,1.30625,1.25,1.627171,2.1525000000000003,0.8630108181818181,0.3792864090909105,1.2,110.8149,75.26063733306623,77.1,97.1643,3.03,763265.0,-2.27012908,-3.4255623,2.63653453,117.8,6.5
2006-11-01,0.6,0.5,106.067306169793,3.1450057613552405,72.6061,0.0134206609055438,0.010558303652133949,1.30625,1.25,1.768215,2.149909090909091,0.5808304545454543,0.2068629090909111,1.2,110.7768,75.28652208765735,78.2,97.1551,3.05,767765.0,-3.80333604,-4.62553728,1.39421657,118.0,7.2
2006-12-01,0.6,0.6,106.60907275982,3.257673952897754,75.5825,0.0134206609055438,0.010558303652133949,1.15714285714286,1.05,1.897995,2.3048571428571427,0.5363859523809522,0.21840309523809998,1.2,110.7484,75.30582834605286,78.4,97.277,3.03,765299.0,-4.11056111,-4.99691122,2.93102682,118.0,7.8
2007-01-01,0.2,0.1,105.173944392778,3.320430667638209,66.73087,0.00564444993613833,0.007894566764648836,1.15714285714286,1.05,1.905279,2.441869565217391,0.6597210000000004,0.3509094782608715,1.6,110.581,76.14327958690914,79.6,95.3705,3.03,768851.0,-3.40694334,-4.54681311,3.74767405,119.1,6.6
2007-02-01,0.2,0,104.078295618922,3.2023152844650147,71.3304,0.00564444993613833,0.007894566764648836,1.15714285714286,1.05,1.835111,2.43355,0.7618390000000002,0.2993186000000003,1.6,110.9061,75.92008013986607,79.0,94.968,3.04,771668.0,-2.98461795,-4.49759948,3.70929931,119.2,7.0
2007-03-01,0.2,0.2,105.066466252988,2.9874679122409287,75.56702,0.00564444993613833,0.007894566764648836,0.773684210526316,1.09444444444444,1.979335,2.392318181818182,0.653437727272727,0.13181686363635992,1.6,111.2649,75.67525787557442,80.4,95.7782,3.04,778846.0,-4.64586832,-5.80299721,2.6646927,119.5,7.0
2007-04-01,0.4,0.5,102.252711353287,2.8586101604565304,81.8172,0.0159307020004318,0.006782044136525389,0.773684210526316,1.09444444444444,2.066636,2.4597142857142855,0.7020306666666665,0.27058171428570876,1.5,112.2932,78.63343461580932,80.7,94.5689,3.06,781401.0,-4.33382889,-5.69431914,2.408148,119.3,6.8
2007-05-01,0.5,0.5,100.146423502627,2.6906593078063574,82.07443,0.0159307020004318,0.006782044136525389,0.773684210526316,1.09444444444444,2.165807,2.634434782608696,0.741758217391304,0.3016959565217405,1.5,113.3021,77.9332421905684,79.1,93.582,3.07,783032.0,-4.04346467,-5.50916945,2.79447189,119.0,6.6
2007-06-01,0.5,0.6,102.94561037001,2.5280289679117343,87.59903,0.0159307020004318,0.006782044136525389,0.733333333333333,1.17647058823529,2.418879,2.823238095238095,0.7183114761904763,0.5129553333333297,1.5,113.3089,77.92856518773019,79.7,93.0451,3.14,790127.0,-4.44532709,-6.06845328,2.98634897,119.2,6.4
2007-07-01,0.7,0.7,100.409660400584,2.527978296361681,92.84718,0.00864550825468702,0.004777307731186564,0.733333333333333,1.17647058823529,2.490651,2.955090909090909,0.7657126363636362,0.4122248636363608,1.4,113.4781,79.83919364176876,80.1,93.194,3.22,792913.0,-6.18035788,-7.17352939,1.54604829,119.5,5.6
