"CubeId";"snbmonagg"
"PublishingDate";"2025-08-21 09:00"

"Date";"D0";"D1";"Value"
"1999-01";"VV";"GM2";"1.42977738"
"1999-01";"VV";"GM3";"0.85097665"
"1999-02";"VV";"GM1";"5.30833291"
"1999-02";"VV";"GM2";"0.86089647"
"1999-02";"VV";"GM3";"1.50809581"
"1999-03";"VV";"GM1";"4.81351067"
"1999-03";"VV";"GM2";"1.36179555"
"1999-03";"VV";"GM3";"0.75388286"
"1999-04";"VV";"GM1";"9.28096129"
"1999-04";"VV";"GM2";"3.58115537"
"1999-04";"VV";"GM3";"1.09791957"
"1999-05";"VV";"GM1";"11.18888138"
"1999-05";"VV";"GM2";"4.73402144"
"1999-05";"VV";"GM3";"1.96273187"
"1999-06";"VV";"GM1";"11.5351022"
"1999-06";"VV";"GM2";"5.07870286"
"1999-06";"VV";"GM3";"1.4753629"
"1999-07";"VV";"GM1";"12.13472835"
"1999-07";"VV";"GM2";"5.56319751"
"1999-07";"VV";"GM3";"1.45200802"
"1999-08";"VV";"GM1";"11.0140508"
"1999-08";"VV";"GM2";"4.71254021"
"1999-08";"VV";"GM3";"1.37879876"
"1999-09";"VV";"GM1";"9.85558692"
"1999-09";"VV";"GM2";"4.44705154"
"1999-09";"VV";"GM3";"1.95663353"
"1999-10";"VV";"GM1";"7.48131581"
"1999-10";"VV";"GM2";"2.66598834"
"1999-10";"VV";"GM3";"1.21068721"
"1999-11";"VV";"GM1";"7.54247305"
"1999-11";"VV";"GM2";"2.54846783"
"1999-11";"VV";"GM3";"0.40450453"
"1999-12";"VV";"GM1";"6.37831947"
"1999-12";"VV";"GM2";"2.08892564"
"1999-12";"VV";"GM3";"1.44837444"
"2000-01";"VV";"GM1";"5.66852305"
"2000-01";"VV";"GM2";"1.00993489"
"2000-01";"VV";"GM3";"0.51436171"
"2000-02";"VV";"GM1";"1.86978459"
"2000-02";"VV";"GM2";"-1.54744009"
"2000-02";"VV";"GM3";"-1.15434176"
"2000-03";"VV";"GM1";"1.77136749"
"2000-03";"VV";"GM2";"-2.3917956"
"2000-03";"VV";"GM3";"-1.32524969"
"2000-04";"VV";"GM1";"-1.46385657"
"2000-04";"VV";"GM2";"-4.37249999"
"2000-04";"VV";"GM3";"-1.7368508"
"2000-05";"VV";"GM1";"-1.73836615"
"2000-05";"VV";"GM2";"-4.9503483"
"2000-05";"VV";"GM3";"-1.38525422"
"2000-06";"VV";"GM1";"-3.64235406"
"2000-06";"VV";"GM2";"-5.83442871"
"2000-06";"VV";"GM3";"-2.44220505"
"2000-07";"VV";"GM1";"-5.40507106"
"2000-07";"VV";"GM2";"-7.18797251"
"2000-07";"VV";"GM3";"-2.28314703"
"2000-08";"VV";"GM1";"-4.70504077"
"2000-08";"VV";"GM2";"-6.97040834"
"2000-08";"VV";"GM3";"-1.80892259"
"2000-09";"VV";"GM1";"-4.89201045"
"2000-09";"VV";"GM2";"-7.6291668"
"2000-09";"VV";"GM3";"-2.29336012"
"2000-10";"VV";"GM1";"-4.46216121"
"2000-10";"VV";"GM2";"-7.66651628"
"2000-10";"VV";"GM3";"-1.76647644"
"2000-11";"VV";"GM1";"-2.94623105"
"2000-11";"VV";"GM2";"-6.76802714"
"2000-11";"VV";"GM3";"-1.31439231"
"2000-12";"VV";"GM1";"-1.98219791"
"2000-12";"VV";"GM2";"-5.68519695"
"2000-12";"VV";"GM3";"-1.03794545"
"2001-01";"VV";"GM1";"-3.13920742"
"2001-01";"VV";"GM2";"-6.03207965"
"2001-01";"VV";"GM3";"0.19669084"
"2001-02";"VV";"GM1";"-2.76510425"
"2001-02";"VV";"GM2";"-5.75389697"
"2001-02";"VV";"GM3";"1.01234992"
"2001-03";"VV";"GM1";"-3.20856909"
"2001-03";"VV";"GM2";"-5.8387708"
"2001-03";"VV";"GM3";"1.21242462"
"2001-04";"VV";"GM1";"-1.60512945"
"2001-04";"VV";"GM2";"-4.63200344"
"2001-04";"VV";"GM3";"2.40491066"
"2001-05";"VV";"GM1";"-0.04158085"
"2001-05";"VV";"GM2";"-3.36381275"
"2001-05";"VV";"GM3";"2.71901553"
"2001-06";"VV";"GM1";"1.09466444"
"2001-06";"VV";"GM2";"-2.63679723"
"2001-06";"VV";"GM3";"4.08833459"
"2001-07";"VV";"GM1";"1.34649143"
"2001-07";"VV";"GM2";"-2.17378059"
"2001-07";"VV";"GM3";"3.28833358"
"2001-08";"VV";"GM1";"1.01689487"
"2001-08";"VV";"GM2";"-2.07487118"
"2001-08";"VV";"GM3";"3.00977279"
"2001-09";"VV";"GM1";"3.50991274"
"2001-09";"VV";"GM2";"-0.16008638"
"2001-09";"VV";"GM3";"3.92094447"
"2001-10";"VV";"GM1";"3.56916055"
"2001-10";"VV";"GM2";"1.06722133"
"2001-10";"VV";"GM3";"5.10692163"
"2001-11";"VV";"GM1";"3.84857166"
"2001-11";"VV";"GM2";"1.92012309"
"2001-11";"VV";"GM3";"5.593004"
"2001-12";"VV";"GM1";"8.5816407"
"2001-12";"VV";"GM2";"4.62417817"
"2001-12";"VV";"GM3";"5.69212365"
"2002-01";"VV";"GM1";"4.43694787"
"2002-01";"VV";"GM2";"3.09046136"
"2002-01";"VV";"GM3";"3.71003462"
"2002-02";"VV";"GM1";"6.49073312"
"2002-02";"VV";"GM2";"5.02989986"
"2002-02";"VV";"GM3";"3.73641079"
"2002-03";"VV";"GM1";"8.6146199"
"2002-03";"VV";"GM2";"7.57920165"
"2002-03";"VV";"GM3";"4.4266639"
"2002-04";"VV";"GM1";"6.62410922"
"2002-04";"VV";"GM2";"6.79640679"
"2002-04";"VV";"GM3";"3.48162158"
"2002-05";"VV";"GM1";"4.58111638"
"2002-05";"VV";"GM2";"6.04786871"
"2002-05";"VV";"GM3";"2.68779084"
"2002-06";"VV";"GM1";"8.49141692"
"2002-06";"VV";"GM2";"8.54025865"
"2002-06";"VV";"GM3";"3.91376021"
"2002-07";"VV";"GM1";"10.75586878"
"2002-07";"VV";"GM2";"10.4502387"
"2002-07";"VV";"GM3";"5.19532706"
"2002-08";"VV";"GM1";"11.92236049"
"2002-08";"VV";"GM2";"11.60843207"
"2002-08";"VV";"GM3";"5.20399555"
"2002-09";"VV";"GM1";"11.50849307"
"2002-09";"VV";"GM2";"11.48500699"
"2002-09";"VV";"GM3";"5.55230158"
"2002-10";"VV";"GM1";"10.64746065"
"2002-10";"VV";"GM2";"11.16899723"
"2002-10";"VV";"GM3";"4.28632749"
"2002-11";"VV";"GM1";"10.59244301"
"2002-11";"VV";"GM2";"10.82942186"
"2002-11";"VV";"GM3";"3.82061759"
"2002-12";"VV";"GM1";"9.14200874"
"2002-12";"VV";"GM2";"10.55558783"
"2002-12";"VV";"GM3";"4.79534355"
"2003-01";"VV";"GM1";"11.39146964"
"2003-01";"VV";"GM2";"11.89932924"
"2003-01";"VV";"GM3";"6.24691714"
"2003-02";"VV";"GM1";"11.68751725"
"2003-02";"VV";"GM2";"12.13699901"
"2003-02";"VV";"GM3";"7.12538416"
"2003-03";"VV";"GM1";"21.83323281"
"2003-03";"VV";"GM2";"17.6662099"
"2003-03";"VV";"GM3";"8.31921986"
"2003-04";"VV";"GM1";"25.97715888"
"2003-04";"VV";"GM2";"20.25826513"
"2003-04";"VV";"GM3";"9.79767904"
"2003-05";"VV";"GM1";"26.2882092"
"2003-05";"VV";"GM2";"20.40648845"
"2003-05";"VV";"GM3";"9.52869422"
"2003-06";"VV";"GM1";"23.28569686"
"2003-06";"VV";"GM2";"19.08964993"
"2003-06";"VV";"GM3";"9.12266942"
"2003-07";"VV";"GM1";"22.81795288"
"2003-07";"VV";"GM2";"18.62583817"
"2003-07";"VV";"GM3";"8.25007581"
"2003-08";"VV";"GM1";"24.00607289"
"2003-08";"VV";"GM2";"18.98526252"
"2003-08";"VV";"GM3";"9.22266685"
"2003-09";"VV";"GM1";"23.52255258"
"2003-09";"VV";"GM2";"18.69578058"
"2003-09";"VV";"GM3";"9.88733245"
"2003-10";"VV";"GM1";"26.25064399"
"2003-10";"VV";"GM2";"19.58374327"
"2003-10";"VV";"GM3";"10.11171735"
"2003-11";"VV";"GM1";"24.16475858"
"2003-11";"VV";"GM2";"18.5223065"
"2003-11";"VV";"GM3";"8.57862618"
"2003-12";"VV";"GM1";"20.85846694"
"2003-12";"VV";"GM2";"15.10686177"
"2003-12";"VV";"GM3";"7.47072671"
"2004-01";"VV";"GM1";"24.06173463"
"2004-01";"VV";"GM2";"16.61216213"
"2004-01";"VV";"GM3";"7.9910395"
"2004-02";"VV";"GM1";"23.6168364"
"2004-02";"VV";"GM2";"16.14975377"
"2004-02";"VV";"GM3";"7.0635934"
"2004-03";"VV";"GM1";"11.37353896"
"2004-03";"VV";"GM2";"8.48807606"
